Frequency [Hz]	Current [A]	Voltage [V]	T0 [degC]
237000.0	3.072	14.666	22.1875
238000.0	4.167	14.669	23.1796875
239000.0	5.803	14.669	23.9921875
240000.0	7.824	14.669	25.8125
241000.0	8.829	14.669	27.0390625
242000.0	8.002	14.669	28.1796875
243000.0	6.335	14.668	28.3359375
244000.0	4.720	14.669	27.1171875
245000.0	3.519	14.669	26.140625
246000.0	2.697	14.669	25.0703125
247000.0	2.134	14.669	24.4921875
240000.0	7.846	14.669	25.234375
240500.0	8.572	14.669	27.28125
241000.0	8.830	14.669	28.828125
241500.0	8.591	14.669	29.234375
242000.0	8.001	14.669	29.390625
