Frequency [Hz]	Current [A]	Voltage [V]	T0 [degC]
401000.0	4.714	14.665	21.234375
402000.0	5.791	14.667	21.6015625
403000.0	6.813	14.667	21.9140625
404000.0	7.240	14.667	22.0546875
405000.0	6.874	14.667	22.09375
406000.0	6.042	14.667	22.109375
407000.0	5.061	14.668	22.0234375
408000.0	4.150	14.668	21.9453125
409000.0	3.407	14.668	21.796875
410000.0	2.833	14.668	21.65625
411000.0	2.401	14.668	21.546875
403000.0	6.806	14.667	21.7265625
403500.0	7.129	14.668	22.0234375
404000.0	7.236	14.668	22.1640625
404500.0	7.134	14.667	22.2734375
405000.0	6.872	14.667	22.1640625
