Frequency [Hz]	Current [A]	Voltage [V]	T0 [degC]
237000.0	3.055	14.665	20.8515625
238000.0	4.146	14.667	21.046875
239000.0	5.780	14.667	21.0859375
240000.0	7.804	14.667	21.234375
241000.0	8.826	14.667	21.25
242000.0	7.999	14.667	21.4375
243000.0	6.326	14.667	21.3984375
244000.0	4.708	14.667	21.2734375
245000.0	3.505	14.667	21.34375
246000.0	2.683	14.668	21.1953125
247000.0	2.126	14.667	21.0859375
240000.0	7.818	14.667	21.1796875
240500.0	8.554	14.667	21.34375
241000.0	8.823	14.667	21.3984375
241500.0	8.590	14.668	21.46875
242000.0	8.001	14.667	21.4921875
