Frequency [Hz]	Current [A]	Voltage [V]	T0 [degC]
569000.0	6.323	16.330	23.515625
570000.0	6.936	16.331	28.7421875
571000.0	7.135	16.331	31.1640625
572000.0	6.907	16.332	32.765625
573000.0	6.387	16.332	33.3984375
574000.0	5.718	16.332	32.765625
575000.0	5.007	16.332	32.125
576000.0	4.341	16.332	30.5234375
577000.0	3.768	16.332	29.6328125
578000.0	3.295	16.332	28.1796875
579000.0	2.912	16.332	27.4453125
570000.0	6.918	16.332	28.6640625
570500.0	7.090	16.332	32.125
571000.0	7.124	16.332	34.0390625
571500.0	7.056	16.332	34.984375
572000.0	6.896	16.332	35.3828125
