Frequency [Hz]	Current [A]	Voltage [V]	T0 [degC]
156000.0	1.850	13.001	21.6875
157000.0	2.580	13.002	22.015625
158000.0	3.821	13.003	22.1875
159000.0	5.960	13.002	23.015625
160000.0	8.785	13.002	23.828125
161000.0	9.310	13.002	24.984375
162000.0	7.256	13.003	25.3984375
163000.0	4.941	13.003	24.65625
164000.0	3.353	13.003	24.1640625
165000.0	2.384	13.003	23.4296875
166000.0	1.788	13.003	23.1015625
160000.0	8.792	13.003	23.515625
160500.0	9.502	13.003	24.90625
161000.0	9.307	13.003	25.6484375
161500.0	8.444	13.003	25.890625
162000.0	7.252	13.003	25.6484375
