Frequency [Hz]	Current [A]	Voltage [V]	T0 [degC]
920000.0	5.139	13.998	21.578125
920500.0	5.278	14.000	22.3515625
921000.0	5.383	14.000	22.625
921500.0	5.463	14.000	22.8984375
922000.0	5.522	14.000	23.0234375
922500.0	5.554	14.001	23.0625
923000.0	5.558	14.000	23.265625
923500.0	5.531	14.000	23.2265625
924000.0	5.475	14.001	23.265625
924500.0	5.392	14.001	23.3046875
925000.0	5.287	14.000	23.375
922000.0	5.522	14.000	23.484375
922500.0	5.555	14.000	23.46875
923000.0	5.559	14.000	23.578125
923500.0	5.532	14.000	23.59375
924000.0	5.476	14.000	23.6640625
